product,elasticity,se,pval,ci_low,ci_high,r2,nobs,sig
27in FHD Monitor,-2.0490878028537605,1.1352386044443805,0.07175755622274811,-4.280223988881307,0.18204838317378558,0.24543092507040143,452,ns
20in Monitor,-1.7653789345340534,1.1082277760545456,0.1120508149118536,-3.9448542604676238,0.41409639139951704,0.15465675115078859,367,ns
LG Washing Machine,-1.6356481000077152,1.394171236906427,0.2438094036975858,-4.405412601751195,1.1341164017357643,0.09067948718837004,100,ns
Flatscreen TV,-0.9850151629303759,1.3968492881853354,0.48114502594996744,-3.7317017949121327,1.7616714690513806,0.18867244888114743,383,ns
34in Ultrawide Monitor,-0.7851966396851671,1.3371058344233813,0.5573556113254817,-3.413325180576434,1.8429319012061,0.28127629934724807,437,ns
Apple Airpods Headphones,-0.5538522555462988,1.3343850196148717,0.6782668715195714,-3.1752652542653754,2.067560743172778,0.3591348547965635,533,ns
Lightning Charging Cable,-0.4851969225699154,1.1720628217929416,0.6790634946931893,-2.787616298690946,1.8172224535511154,0.40119174684259895,544,ns
USB-C Charging Cable,-0.3082212419277959,1.329778034694959,0.8167957741620179,-2.9205377820519294,2.304095298196337,0.37056245265798804,537,ns
Wired Headphones,-0.21821143164636203,1.2469340697789686,0.8611487690292606,-2.6678370309436805,2.2314141676509567,0.37408878233821397,532,ns
Bose SoundSport Headphones,-0.2079739497057923,1.2055964660469811,0.863107181911863,-2.5765095300823377,2.1605616306707534,0.4214879676368066,521,ns
Macbook Pro Laptop,0.02760758741690794,1.2795508326417226,0.9827979368316311,-2.488586544699234,2.5438017195330493,0.17147133382270585,376,ns
Vareebadd Phone,0.1958246414522437,1.095934273210741,0.8583338166439017,-1.9627868765940102,2.3544361594984977,0.11187309081630292,256,ns
iPhone,0.29718789377716726,1.2507573602814734,0.8122945646655729,-2.160862589182617,2.7552383767369513,0.23452902652918506,460,ns
AAA Batteries (4-pack),0.9021972706355719,1.1764719453381292,0.4435148605992688,-1.4091197747642452,3.213514316035389,0.3970604518822881,521,ns
ThinkPad Laptop,1.056532203263357,1.3418821671268903,0.4316265756097327,-1.5829318515182473,3.6959962580449615,0.15770726686546466,349,ns
AA Batteries (4-pack),1.3172323826070893,1.2993438930625796,0.3111643465772103,-1.2353646930421438,3.8698294582563224,0.3470319274472633,531,ns
Google Phone,1.411672263154675,1.4162829172244862,0.3194851405655469,-1.3725321478244805,4.195876674133831,0.16650350274674097,414,ns
LG Dryer,1.5733418028901107,1.4962794133453918,0.29572344307280424,-1.3975560478895745,4.544239653669796,0.11859340507209604,104,ns
27in 4K Gaming Monitor,1.8152690699893097,1.1774299573680758,0.12389079078360635,-0.49908885982782536,4.129626999806445,0.2934174037344466,432,ns
